# Force and moment coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 7.5000000e-01
# lRef         : 1.0000000e+00
# Aref         : 1.0000000e-02
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cd(f)          	Cd(r)          	Cl             	Cl(f)          	Cl(r)          	CmPitch        	CmRoll         	CmYaw          	Cs             	Cs(f)          	Cs(r)          
25             	2.0300918e+00	1.0322519e+00	9.9783996e-01	-3.4411892e+00	-1.9509079e+00	-1.4902814e+00	-2.3031326e-01	1.7205946e-02	1.0150459e-02	8.6185270e-20	1.0150459e-02	-1.0150459e-02
26             	1.6264081e+00	8.2694304e-01	7.9946504e-01	-2.7478000e+00	-1.6482725e+00	-1.0995275e+00	-2.7437253e-01	1.3739000e-02	8.1320404e-03	8.9733443e-20	8.1320404e-03	-8.1320404e-03
27             	1.0987360e+00	5.5859240e-01	5.4014363e-01	-1.8448769e+00	-1.2379341e+00	-6.0694278e-01	-3.1549565e-01	9.2243843e-03	5.4936802e-03	1.1661626e-19	5.4936802e-03	-5.4936802e-03
28             	6.3645857e-01	3.2351369e-01	3.1294488e-01	-1.0568815e+00	-8.7332757e-01	-1.8355397e-01	-3.4488680e-01	5.2844077e-03	3.1822929e-03	1.5577702e-19	3.1822929e-03	-3.1822929e-03
29             	3.4410626e-01	1.7486159e-01	1.6924468e-01	-5.6169122e-01	-6.3976222e-01	7.8070992e-02	-3.5891660e-01	2.8084561e-03	1.7205313e-03	1.6746210e-19	1.7205313e-03	-1.7205313e-03
30             	2.5354986e-01	1.2883752e-01	1.2471234e-01	-4.1251847e-01	-5.6382086e-01	1.5130238e-01	-3.5756162e-01	2.0625924e-03	1.2677493e-03	1.8428615e-19	1.2677493e-03	-1.2677493e-03
31             	3.3125520e-01	1.6838461e-01	1.6287059e-01	-5.5140234e-01	-6.2151440e-01	7.0112058e-02	-3.4581323e-01	2.7570117e-03	1.6562760e-03	1.8195680e-19	1.6562760e-03	-1.6562760e-03
32             	5.0420118e-01	2.5636383e-01	2.4783736e-01	-8.5264697e-01	-7.5714141e-01	-9.5505566e-02	-3.3081792e-01	4.2632349e-03	2.5210059e-03	1.7970077e-19	2.5210059e-03	-2.5210059e-03
33             	6.9429801e-01	3.5305811e-01	3.4123990e-01	-1.1818213e+00	-9.1002366e-01	-2.7179768e-01	-3.1911299e-01	5.9091067e-03	3.4714901e-03	1.8031956e-19	3.4714901e-03	-3.4714901e-03
34             	8.4404825e-01	4.2922471e-01	4.1482354e-01	-1.4401161e+00	-1.0342667e+00	-4.0584937e-01	-3.1420866e-01	7.2005804e-03	4.2202412e-03	1.7892384e-19	4.2202412e-03	-4.2202412e-03
