# Force and moment coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 7.5000000e-01
# lRef         : 1.0000000e+00
# Aref         : 1.0000000e-02
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cd(f)          	Cd(r)          	Cl             	Cl(f)          	Cl(r)          	CmPitch        	CmRoll         	CmYaw          	Cs             	Cs(f)          	Cs(r)          
224            	1.3745800e+00	6.9961240e-01	6.7496762e-01	-2.4644782e+00	-1.3232902e+00	-1.1411881e+00	-9.1051047e-02	1.2322391e-02	6.8729001e-03	5.7889073e-19	6.8729001e-03	-6.8729001e-03
225            	1.3712987e+00	6.9792786e-01	6.7337085e-01	-2.4557007e+00	-1.3123250e+00	-1.1433758e+00	-8.4474595e-02	1.2278504e-02	6.8564935e-03	5.9672198e-19	6.8564935e-03	-6.8564935e-03
226            	1.3675554e+00	6.9600758e-01	6.7154781e-01	-2.4459770e+00	-1.3009884e+00	-1.1449886e+00	-7.7999888e-02	1.2229885e-02	6.8377770e-03	5.8133187e-19	6.8377770e-03	-6.8377770e-03
227            	1.3634562e+00	6.9390554e-01	6.6955068e-01	-2.4354863e+00	-1.2893711e+00	-1.1461153e+00	-7.1627917e-02	1.2177432e-02	6.8172811e-03	6.0755571e-19	6.8172811e-03	-6.8172811e-03
228            	1.3589900e+00	6.9161617e-01	6.6737385e-01	-2.4242313e+00	-1.2775111e+00	-1.1467202e+00	-6.5395462e-02	1.2121157e-02	6.7949501e-03	6.0699066e-19	6.7949501e-03	-6.7949501e-03
229            	1.3541102e+00	6.8911568e-01	6.6499454e-01	-2.4121137e+00	-1.2653527e+00	-1.1467610e+00	-5.9295830e-02	1.2060568e-02	6.7705511e-03	6.1773824e-19	6.7705511e-03	-6.7705511e-03
230            	1.3487027e+00	6.8634612e-01	6.6235657e-01	-2.3989542e+00	-1.2527902e+00	-1.1461640e+00	-5.3313098e-02	1.1994771e-02	6.7435134e-03	6.3280663e-19	6.7435134e-03	-6.7435134e-03
231            	1.3425419e+00	6.8319263e-01	6.5934923e-01	-2.3843404e+00	-1.2396706e+00	-1.1446698e+00	-4.7500376e-02	1.1921702e-02	6.7127093e-03	6.5827660e-19	6.7127093e-03	-6.7127093e-03
232            	1.3357657e+00	6.7972540e-01	6.5604029e-01	-2.3685106e+00	-1.2261177e+00	-1.1423929e+00	-4.1862421e-02	1.1842553e-02	6.6788284e-03	6.7411696e-19	6.6788284e-03	-6.6788284e-03
233            	1.3286701e+00	6.7609493e-01	6.5257513e-01	-2.3519805e+00	-1.2123377e+00	-1.1396428e+00	-3.6347424e-02	1.1759902e-02	6.6433503e-03	7.0794898e-19	6.6433503e-03	-6.6433503e-03
234            	1.3213481e+00	6.7234852e-01	6.4899955e-01	-2.3348970e+00	-1.1983927e+00	-1.1365043e+00	-3.0944215e-02	1.1674485e-02	6.6067404e-03	7.0600374e-19	6.6067404e-03	-6.6067404e-03
235            	1.3137217e+00	6.6844650e-01	6.4527516e-01	-2.3171340e+00	-1.1842423e+00	-1.1328917e+00	-2.5675283e-02	1.1585670e-02	6.5686083e-03	7.3430595e-19	6.5686083e-03	-6.5686083e-03
236            	1.3054485e+00	6.6421485e-01	6.4123369e-01	-2.2981162e+00	-1.1696206e+00	-1.1284956e+00	-2.0562525e-02	1.1490581e-02	6.5272427e-03	7.3933138e-19	6.5272427e-03	-6.5272427e-03
237            	1.2964195e+00	6.5959796e-01	6.3682155e-01	-2.2776413e+00	-1.1544404e+00	-1.1232009e+00	-1.5619713e-02	1.1388207e-02	6.4820976e-03	7.5906321e-19	6.4820976e-03	-6.4820976e-03
